GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 00000,United States, ,CAINC5N,534.0,314,     Textile product mills ,Thousands of dollars,6779000,6582000,6554000,6776000,6701000,6481000,6700000,6165000,5285000,5290000,5255000,5564000,5617000,6070000,5981000,6039000,5990000,6144000,6182000,6056000,6426000,6801000,6691000
 00000,United States, ,CAINC5N,535.0,315,     Apparel manufacturing ,Thousands of dollars,12736000,11641000,10961000,10939000,10213000,9974000,9150000,9004000,7462000,7418000,7000000,7260000,7134000,7098000,6490000,6748000,6739000,6771000,7407000,6365000,7073000,7101000,7126000
 00000,United States, ,CAINC5N,536.0,316,     Leather and allied product manufacturing ,Thousands of dollars,2231000,1837000,1952000,1836000,1782000,1755000,1642000,1606000,1396000,1376000,1422000,1530000,1674000,1593000,1584000,1621000,1624000,1641000,1773000,1660000,1864000,1944000,1995000
 00000,United States, ,CAINC5N,537.0,322,     Paper manufacturing ,Thousands of dollars,33162000,32387000,32153000,31896000,31878000,31888000,33431000,32512000,32600000,30623000,31161000,30100000,31853000,31934000,33065000,31506000,31524000,33536000,34437000,35373000,33243000,36008000,37285000
 00000,United States, ,CAINC5N,538.0,323,     Printing and related support activities ,Thousands of dollars,35007000,33475000,32825000,33153000,33391000,33818000,34024000,32687000,27700000,26744000,26639000,26173000,26143000,26420000,26970000,27106000,27002000,27312000,27142000,25708000,26079000,27205000,27698000
 00000,United States, ,CAINC5N,539.0,324,     Petroleum and coal products manufacturing ,Thousands of dollars,18111000,12891000,14743000,17223000,19124000,23400000,23080000,23409000,20370000,21204000,27222000,33645000,29630000,29126000,38197000,20130000,25540000,26397000,28012000,26606000,25798000,51621000,53788000
 00000,United States, ,CAINC5N,541.0,325,     Chemical manufacturing ,Thousands of dollars,79387000,80991000,82493000,87035000,88399000,90353000,94227000,100643000,94598000,94813000,100455000,97987000,99700000,107879000,108977000,109702000,111764000,118140000,124649000,125031000,132033000,141548000,149490000
 00000,United States, ,CAINC5N,542.0,326,     Plastics and rubber products manufacturing ,Thousands of dollars,39502000,39138000,39437000,39770000,40727000,41263000,40941000,40069000,35185000,36911000,38175000,39473000,41018000,43334000,45295000,46618000,48376000,50848000,51898000,52898000,55430000,60590000,62623000
 00000,United States, ,CAINC5N,600.0,42,   Wholesale trade ,Thousands of dollars,357225000,358439000,367004000,390303000,413375000,441642000,461625000,465409000,431799000,440078000,467737000,492124000,505012000,527565000,550416000,549022000,569477000,584617000,601423000,616349000,650965000,723446000,771912000
 00000,United States, ,CAINC5N,700.0,44-45,   Retail trade ,Thousands of dollars,471705000,486929000,505353000,520386000,540319000,561681000,561088000,535281000,521030000,540618000,560191000,578597000,594738000,617472000,645312000,657130000,675178000,701636000,724899000,756655000,837417000,851360000,894752000
 00000,United States, ,CAINC5N,701.0,441,    Motor vehicle and parts dealers ,Thousands of dollars,91558000,95906000,99791000,101985000,105510000,108136000,103919000,94945000,83994000,90935000,96957000,102939000,108695000,114455000,121746000,126579000,129470000,133306000,139608000,145590000,174404000,183209000,190822000
 00000,United States, ,CAINC5N,702.0,442,    Furniture and home furnishings stores ,Thousands of dollars,19726000,20329000,21172000,21970000,22817000,23958000,23369000,21158000,17936000,18122000,18607000,19012000,19745000,20699000,21826000,22541000,23228000,24263000,25071000,24147000,28240000,26725000,27278000
 00000,United States, ,CAINC5N,703.0,443,    Electronics and appliance stores ,Thousands of dollars,25543000,23959000,23604000,23690000,24840000,25878000,26598000,26493000,23891000,25624000,27605000,27990000,26986000,27332000,29730000,29151000,29109000,29669000,30044000,29683000,32067000,29623000,30632000
 00000,United States, ,CAINC5N,704.0,444,    Building material and garden equipment and supplies dealers ,Thousands of dollars,38699000,40249000,42616000,45948000,48884000,51816000,50958000,48423000,45049000,45157000,45728000,46821000,48872000,50521000,52279000,54367000,55722000,58075000,60325000,67003000,72451000,72312000,76210000
 00000,United States, ,CAINC5N,705.0,445,    Food and beverage stores ,Thousands of dollars,76146000,78954000,80992000,81679000,82870000,85119000,85575000,81294000,86522000,89214000,90540000,93020000,95179000,97662000,102276000,102103000,106625000,110460000,113707000,128222000,128049000,134067000,146242000
 00000,United States, ,CAINC5N,706.0,446,    Health and personal care stores ,Thousands of dollars,31044000,32701000,34761000,36401000,38242000,40465000,42278000,42539000,43053000,44696000,45495000,46928000,48496000,49308000,50477000,52163000,53317000,54691000,55822000,56515000,60041000,58611000,62996000
 00000,United States, ,CAINC5N,707.0,447,    Gasoline stations ,Thousands of dollars,25759000,25615000,26359000,26956000,28010000,29504000,28637000,26037000,26761000,29259000,29788000,31191000,31770000,33247000,34340000,35257000,35765000,37831000,39820000,41931000,44742000,45933000,50531000
 00000,United States, ,CAINC5N,708.0,448,    Clothing and clothing accessories stores ,Thousands of dollars,31518000,32830000,33903000,35865000,37239000,38449000,39084000,37447000,34507000,36107000,36778000,38670000,39673000,40212000,40704000,40688000,41864000,43125000,44057000,37407000,42395000,44258000,47475000
